# llms.txt - Ranked for affiliate content quality/cost/multilingual (May 2026) 
# Global site: SEO, creative ManyChat, bulk vulture scaling across 50+ langs
# FORMAT: model provider/api - strengths, langs, input/output $/M tokens, context

grok-4.1 x.ai/api perplexity.ai/api - Best SEO/affiliate links, 94+ langs, $0.29/$0.95, 128K
claude-4.6-sonnet/opus anthropic.com - Creative ManyChat strategies, pro writing, $3/$15, 200K 
gemini-3.1-pro deepmind.google.com - Value multilingual/creative, 89 langs, $1.25/$5, 1M+
gpt-5.4-mini openai.com/api - Fast bulk gen/structured, 52 langs, $2.50/$15, 1M+
glm-4.7-thinking z.ai/glm - Open-source reasoning/coding, Chinese+global, free self-host, 32K
deepseek-v3.2 deepseek.com/api - Cost-efficient math/coding, Chinese/global, $0.07/$0.28, 128K
qwen3-235b alibaba.com/qwen - Frontier vision/multilingual 32+ langs, open-source, $0.50/$2, 64K
mistral-large-3 mistral.ai - Efficient Euro/global langs, 38 langs, $0.50/$1.50, 128K
llama-4-405b meta.ai/groq - Open-weight leader, multilingual fine-tuning, free/$0.59, 128K
command-r-plus-248b cohere.com - RAG/enterprise docs, 47 langs, $2.50/$10, 128K
